Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1777,XBA--09C-L (Room 119),MSC--09C-- (Room 226),MSS--09C-- (Room 121),MDNC-09H-- (Room Studio),MVA--09--- (Room 116),MEN--09C-- (Room A-6),MSP--09--- (Room 207B),XBA--09C-L (Room 119)
1778,MADT-09--- (Room A-7),MMA--09--- (Room 210),MEN--09--- (Room A-3),MVA--09--- (Room 116),MSP--09--- (Room 205A),MSS--09--- (Room 121),MPHE-09G-- (Room Gym),XLDCB09LS- (Room 108)
1779,MADGE09--- (Room 105),MADD-09--- (Room 105),MSS--09C-- (Room 121),MEN--09C-- (Room 205A),MADEM10--- (Room 208),MPHE-09--- (Room Gym),MWBDV10IT- (Room 203),MSC--09C-- (Room 211)
1780,MPHE-09--L (Room Gym),MADD-09--- (Room 105),MSS--09C-- (Room 121),MADER09--- (Room 104),MPHE-09--L (Room Gym),MEN--09C-- (Room A-6),MADGE09--- (Room 105),MMA--09C-- (Room 212)
1781,MADT-09--- (Room A-7),MMA--09--- (Room 210),MVA--09--- (Room 116),MEN--09--- (Room A-2),MPHE-09B-- (Room Gym),MSS--09--- (Room 121),XBA--09G-- (Room 119),MSC--09--- (Room 226)
1782,XBA--09C-L (Room 119),unassigned,MSS--09C-- (Room 121),MADER09--- (Room 104),MPHE-09--L (Room Gym),MEN--09C-- (Room A-6),MADGE09--- (Room 105),XBA--09C-L (Room 119)
1783,MFR--11--- (Room A-3),MSC--09--- (Room 227),MMA--09H-- (Room 106),MEN--09--- (Room 107),unassigned,unassigned,MSS--09--- (Room 205B),MADEM10--- (Room 208)
1784,XBA--09C-L (Room 119),MSC--09C-- (Room 226),MADD-09--- (Room 105),MEN--09C-- (Room 205A),MSS--09C-- (Room 209),MADT-09--- (Room A-7),MADGE09--- (Room 105),XBA--09C-L (Room 119)
1785,MWBDV10IT- (Room 114),MSC--09--- (Room 227),MMA--09H-- (Room 106),MSS--09--- (Room 121),MADD-09--- (Room 105),MFR--09--- (Room 207B),MPHE-09G-- (Room Gym),MEN--09--- (Room 205B)
1786,MWBDV10IT- (Room 114),MSC--09--- (Room 227),MMA--09H-- (Room 106),MADD-09--- (Room 105),MADER09--- (Room 104),MPHE-09B-- (Room Gym),MSS--09--- (Room 122),MEN--09--- (Room 205B)
1787,MPHE-09--L (Room Gym),MMA--09--- (Room 210),MVA--09--- (Room 116),MEN--09--- (Room 222),MPHE-09--L (Room Gym),MSS--09--- (Room 121),MADGE09--- (Room 105),MSC--09--- (Room 226)
1788,MEN--09--- (Room A-6),MMA--09--- (Room 106),MPHE-09G-- (Room Gym),MSS--09--- (Room 121),MSC--09--- (Room 211),MADT-09--- (Room A-7),MSP--09--- (Room 207B),MADEM10--- (Room 208)
1789,MFR--09--- (Room 208),MMA--09--- (Room 210),MEN--09--- (Room A-3),YHRA-0AX-- (Room 120),MVA--09--- (Room 116),MSS--09--- (Room 121),MADW-09--- (Room 101),MSC--09--- (Room 226)
1790,unassigned,MMA--09--- (Room 210),MPHE-09G-- (Room Gym),MEN--09--- (Room 222),MADT-09--- (Room A-7),MSS--09--- (Room 121),MFR--09--- (Room A-2),MSC--09--- (Room 226)
1791,MFR--09--- (Room 208),MADGE09--- (Room 104),MPHE-09--- (Room Gym),MADER09--- (Room 104),MSS--09C-- (Room 209),MEN--09C-- (Room A-6),MWBDV10IT- (Room 203),MMA--09C-- (Room 212)
1792,MFR--11--- (Room A-3),MADD-09--- (Room 105),MMA--09H-- (Room 106),MEN--09--- (Room 107),MPHE-09B-- (Room Gym),MSS--09--- (Room 123),MWBDV10IT- (Room 203),MSC--09--- (Room 226)
1793,MPHE-09--L (Room Gym),MMA--09--- (Room 210),XLDCB09M-- (Room 103),MEN--09--- (Room 107),MPHE-09--L (Room Gym),MSS--09--- (Room 121),unassigned,MSC--09--- (Room 219)
1794,XLDCB09LS- (Room 109),MADD-09--- (Room 105),MVA--09--- (Room 116),MEN--09C-- (Room 205A),MSS--09C-- (Room 209),MADT-09--- (Room A-7),MPHE-09G-- (Room Gym),MSC--09C-- (Room 211)
1795,MFR--11--- (Room A-3),MSC--09C-- (Room 226),MPHE-09--- (Room Gym),MEN--09C-- (Room 205A),MSS--09C-- (Room 209),MADGE09--- (Room 105),MWBDV10IT- (Room 203),MMA--09C-- (Room 212)
