,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
122,ENGLISH FIRST PEOPLES 12 (27 students),SOCIAL STUDIES 10 CHALLENGE (23 students),EXPLORATIONS IN SOCIAL STUDIES 11 (30 students),SOCIAL STUDIES 10 (17 students),20th CENTURY WORLD HISTORY 12 (28 students),ENVIRONMENTAL SCIENCE 11 (21 students),SOCIAL STUDIES 9 (16 students),LAW STUDIES 12 (30 students)
123,"SPANISH 10 (14 students)
SPANISH 11 (13 students)
SPANISH 12 (1 students)",SOCIAL STUDIES 10 (23 students),AP ENGLISH LITERATURE & COMPOSITION 12 (25 students),EFP WRITING 10 (30 students),,SOCIAL STUDIES 9 (24 students),,LAW STUDIES 12 (27 students)
201,CAREER LIFE EDUCATION 10 (30 students),CAREER LIFE EDUCATION 10 Linear (15 students),,,CAREER LIFE EDUCATION 10 Linear (15 students),,,
203,COMPUTER PROGRAMMING 12 AI and (2 students),"COMPUTER SCIENCE 11 (15 students)
COMPUTER SCIENCE 12 (9 students)","COMPUTER SCIENCE 11 (20 students)
COMPUTER SCIENCE 12 (4 students)",,COMPUTER PROGRAMMING 11 AI and (24 students),,Information and Communications Technologies 10 (24 students),"AP COMPUTER SCIENCE A 12 (3 students)
COMPUTER SCIENCE 11 (17 students)
COMPUTER SCIENCE 12 (4 students)"
205A,"ACCOUNTING 11 (28 students)
ACCOUNTING 12 (2 students)",ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE (22 students),PSYCHOLOGY 11 (30 students),ENGLISH LANGUAGE ARTS 9 CHALLENGE (22 students),"INTRODUCTORY SPANISH 11 (9 students)
SPANISH 9 (19 students)",ENGLISH STUDIES 12 (21 students),,EFP WRITING 10 (17 students)
205B,ENGLISH FIRST PEOPLES 12 (20 students),SOCIAL STUDIES 10 (15 students),"SPOKEN LANGUAGE 11 (4 students)
ELL Academic Literacy 11 (10 students)",SOCIAL STUDIES 10 (21 students),CRIMINOLOGY 12 (25 students),COMPOSITION 11 (20 students),SOCIAL STUDIES 9 (15 students),ENGLISH LANGUAGE ARTS 9 (22 students)
206,ADST – FOOD STUDIES 10 (18 students),,"FOOD STUDIES 11 (11 students)
FOOD STUDIES 12 (19 students)","FOOD STUDIES 11 (13 students)
FOOD STUDIES 12 (17 students)","FOOD STUDIES 11 (9 students)
FOOD STUDIES 12 (21 students)",ADST – FOOD STUDIES 10 (30 students),ADST – FOOD STUDIES 10 (27 students),"FOOD STUDIES 11 (11 students)
FOOD STUDIES 12 (19 students)"
207A,,COMPOSITION 11 (29 students),ENVIRONMENTAL SCIENCE 11 (14 students),SOCIAL STUDIES 10 (16 students),PHYSICAL GEOGRAPHY 12 (22 students),ENGLISH STUDIES 12 (28 students),CONTEMPORARY INDIGENOUS STUDIES 12 (19 students),COMPOSITION 10 Challenge (22 students)
207B,CAREER LIFE EDUCATION 10 (16 students),COMPOSITION 11 (23 students),COMPOSITION 10 (28 students),ENGLISH STUDIES 12 (24 students),"SPANISH 11 (11 students)
SPANISH 12 (15 students)","FRENCH 9 (18 students)
FRENCH 10 (12 students)","INTRODUCTORY SPANISH 11 (7 students)
SPANISH 9 (23 students)",COMPOSITION 11 (26 students)
208,"FRENCH 9 (21 students)
FRENCH 10 (9 students)",SOCIAL JUSTICE 12 (27 students),,SOCIAL STUDIES 10 (18 students),ADST – ENTREPRENEURSHIP AND MARKETING 10 (30 students),SOCIAL STUDIES 10 CHALLENGE (22 students),COMPARATIVE CULTURES 12 (30 students),ADST – ENTREPRENEURSHIP AND MARKETING 10 (30 students)
209,"ECONOMICS 12 (24 students)
E-COMMERCE 12 (3 students)",SOCIAL JUSTICE 12 (30 students),EFP WRITING 10 (22 students),COMPOSITION 11 (28 students),SOCIAL STUDIES 9 CHALLENGE (21 students),ENGLISH STUDIES 12 CHALLENGE (14 students),,PSYCHOLOGY 11 (30 students)
210,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE (30 students),MATHEMATICS 9 (30 students),,PRE-CALCULUS 12 (30 students),MATHEMATICS 9 (22 students),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS (26 students),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (30 students),
