Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1612,SCIENCE 10 (Room 211),SOCIAL STUDIES 10 (Room 121),PHYSICAL AND HEALTH EDUCATION 10 Girls (Room Gym),ADST – DRAFTING 10 (Room 105),ADST – MEDIA DESIGN 10 (Room 114),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS (Room 210),ADST – FOOD STUDIES 10 (Room 206),EFP WRITING 10 (Room 205A)
1613,SCIENCE 10 (Room 226),SOCIAL STUDIES 10 (Room 121),PHYSICAL AND HEALTH EDUCATION 10 (Room Gym),3D ANIMATION 12 (Room 114),ADST – ELECTRONICS AND ROBOTICS 10 (Room 104),TEXTILES 10 (Room A-7),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 212),EFP WRITING 10 (Room A-6)
1614,ADST-Technology Explorations 10 (Room 105),COMPUTER SCIENCE 11 (Room 203),PHYSICAL AND HEALTH EDUCATION 10 (Room Gym),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE (Room 220),SPANISH 11 (Room 207B),SOCIAL STUDIES 10 CHALLENGE (Room 208),SCIENCE 10: CHALLENGE (Room 211),COMPOSITION 10 Challenge (Room 207A)
1615,SCIENCE 10 (Room 226),PHYSICAL AND HEALTH EDUCATION 10 LINEAR (Room Gym),EFP WRITING 10 (Room 209),SOCIAL STUDIES 10 (Room 205B),ACCOUNTING 11 (Room A-2),ADST-Technology Explorations 10 (Room 105),ADST – FOOD STUDIES 10 (Room 206),PHYSICAL AND HEALTH EDUCATION 10 LINEAR (Room Gym)
1616,unassigned,unassigned,COMPOSITION 10 (Room 207B),unassigned,ADST – MEDIA DESIGN 10 (Room 114),unassigned,SCIENCE 10 (Room 216),unassigned
1617,ACCOUNTING 11 (Room 205A),SOCIAL STUDIES 10 (Room 222),VISUAL ARTS: ART STUDIO 10 (Room 116),EFP WRITING 10 (Room 123),SCIENCE 10 (Room 219),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS (Room 210),PHYSICAL AND HEALTH EDUCATION 10 Girls (Room Gym),MARKETING AND PROMOTION 11 (Room A-2)
1618,Information and Communications Technologies 10 (Room 114),BEGINNERS ELL 10 (Room A-3),PHYSICAL AND HEALTH EDUCATION 10 (Room Gym),SOCIAL STUDIES 10 (Room 122),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 214),COMPOSITION 10 (Room A-3),VISUAL ARTS: PHOTOGRAPHY 10 (Room 113),SCIENCE 10 (Room 223)
1619,SCIENCE 10 (Room 226),ADST-Technology Explorations 10 (Room 104),EFP WRITING 10 (Room A-7),SOCIAL STUDIES 10 (Room 122),COMPUTER PROGRAMMING 11 AI and (Room 203),PHYSICAL AND HEALTH EDUCATION 10 Boys (Room Gym),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 210),unassigned
1620,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE (Room 210),PHYSICAL AND HEALTH EDUCATION 10 LINEAR (Room Gym),COMPUTER SCIENCE 11 (Room 203),COMPOSITION 10 Challenge (Room A-3),SCIENCE 10: CHALLENGE (Room 216),SOCIAL STUDIES 10 CHALLENGE (Room 208),ADST – FOOD STUDIES 10 (Room 206),PHYSICAL AND HEALTH EDUCATION 10 LINEAR (Room Gym)
1621,ADST-Technology Explorations 10 (Room 105),COMPUTER SCIENCE 11 (Room 203),PHYSICAL AND HEALTH EDUCATION 10 (Room Gym),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE (Room 220),ADST – ELECTRONICS AND ROBOTICS 10 (Room 104),SOCIAL STUDIES 10 CHALLENGE (Room 208),SCIENCE 10: CHALLENGE (Room 211),COMPOSITION 10 Challenge (Room 207A)
1622,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE (Room 210),SOCIAL STUDIES 10 CHALLENGE (Room 122),PHYSICAL AND HEALTH EDUCATION 10 (Room Gym),COMPOSITION 10 Challenge (Room A-3),VISUAL ARTS: ART STUDIO 10 (Room 116),ADST – FOOD STUDIES 10 (Room 206),SCIENCE 10: CHALLENGE (Room 211),unassigned
1623,SCIENCE 10 (Room 211),BEGINNERS ELL 10 (Room A-3),unassigned,unassigned,INSTRUMENTAL MUSIC: GUITAR 10 (Room 119),COMPOSITION 10 (Room A-3),FOUNDATIONS OF MATH AND PRE-CALCULUS 10 (Room 210),unassigned
