Group / Section Info,Room-Sharing Groups,Sections
sim_60 (BLOCK 0) (ROOM 207A) (30 STUDENTS) (3 SECTIONS),0 groups:,"SPANISH 10 (MSP--10---_1), SPANISH 11 (MSP--11---_1), SPANISH 12 (MSP--12---_1)"
sim_23 (BLOCK 0) (ROOM 207B) (26 STUDENTS) (2 SECTIONS),0 groups:,"INTRODUCTORY SPANISH 11 (MBSP-11---_1), SPANISH 9 (MSP--09---_1)"
sim_124 (BLOCK 0) (ROOM 208) (17 STUDENTS) (1 SECTIONS),0 groups:,EFP WRITING 10 (MEFWR10---_3)
sim_146 (BLOCK 0) (ROOM 209) (21 STUDENTS) (1 SECTIONS),0 groups:,ENGLISH STUDIES 12 CHALLENGE (MENST12C--_2)
sim_356 (BLOCK 0) (ROOM 211) (23 STUDENTS) (1 SECTIONS),0 groups:,SCIENCE 10 (MSC--10---_2)
sim_41 (BLOCK 0) (ROOM 222) (30 STUDENTS) (2 SECTIONS),0 groups:,"FRENCH 11 (MFR--11---_2), FRENCH 12 (MFR--12---_2)"
sim_231 (BLOCK 0) (ROOM A-2) (15 STUDENTS) (1 SECTIONS),0 groups:,SOCIAL STUDIES 9 (MSS--09---_1)
sim_39 (BLOCK 0) (ROOM A-3) (30 STUDENTS) (2 SECTIONS),0 groups:,"FRENCH 9 (MFR--09---_3), FRENCH 10 (MFR--10---_3)"
sim_125 (BLOCK 0) (ROOM A-6) (24 STUDENTS) (1 SECTIONS),0 groups:,EFP WRITING 10 (MEFWR10---_4)
sim_126 (BLOCK 0) (ROOM A-7) (18 STUDENTS) (1 SECTIONS),0 groups:,EFP WRITING 10 (MEFWR10---_5)
sim_3 (BLOCK 0) (ROOM Gym) (30 STUDENTS) (2 SECTIONS),1 groups: sim_4,"ACTIVE LIVING 11 (MACLV11---_1), ACTIVE LIVING 12 (MACLV12---_1)"
sim_4 (BLOCK 0) (ROOM Gym) (30 STUDENTS) (2 SECTIONS),1 groups: sim_3,"ACTIVE LIVING 11 (MACLV11---_2), ACTIVE LIVING 12 (MACLV12---_2)"
sim_30 (BLOCK 0) (ROOM NO ROOM FOUND) (30 STUDENTS) (2 SECTIONS),"5 groups: sim_44, sim_109, sim_133, sim_235, sim_236","ECONOMICS 12 (MEC--12---_1), E-COMMERCE 12 (MECOM12---_1)"
sim_44 (BLOCK 0) (ROOM NO ROOM FOUND) (24 STUDENTS) (2 SECTIONS),"5 groups: sim_30, sim_109, sim_133, sim_235, sim_236","COMPUTER SCIENCE 11 (MMACS11---_3), COMPUTER SCIENCE 12 (MMACS12---_3)"
sim_109 (BLOCK 0) (ROOM NO ROOM FOUND) (16 STUDENTS) (1 SECTIONS),"5 groups: sim_30, sim_44, sim_133, sim_235, sim_236",COMPOSITION 10 (MCMPS10---_3)
sim_133 (BLOCK 0) (ROOM NO ROOM FOUND) (30 STUDENTS) (1 SECTIONS),"5 groups: sim_30, sim_44, sim_109, sim_235, sim_236",ENGLISH LANGUAGE ARTS 9 CHALLENGE (MEN--09C--_1)
sim_235 (BLOCK 0) (ROOM NO ROOM FOUND) (19 STUDENTS) (1 SECTIONS),"5 groups: sim_30, sim_44, sim_109, sim_133, sim_236",SOCIAL STUDIES 9 (MSS--09---_5)
sim_236 (BLOCK 0) (ROOM NO ROOM FOUND) (21 STUDENTS) (1 SECTIONS),"5 groups: sim_30, sim_44, sim_109, sim_133, sim_235",SOCIAL STUDIES 9 (MSS--09---_6)
sim_22 (BLOCK 1) (ROOM 101) (22 STUDENTS) (4 SECTIONS),0 groups:,"ADST - Woodwork 9 (MADW-09---_2), ADST – WOODWORK 10 (MWWK-10---_2), WOODWORK 11 (MWWK-11---_2), WOODWORK 12 (MWWK-12---_2)"
sim_63 (BLOCK 1) (ROOM 102) (24 STUDENTS) (3 SECTIONS),0 groups:,"AUTOMOTIVE TECHNOLOGY 11 (MTAUT11---_1), AUTOMOTIVE TECHNOLOGY 12 (MTAUT12---_1), ENGINE AND DRIVETRAIN 12 (MTEAD12---_1)"
sim_211 (BLOCK 1) (ROOM 106) (23 STUDENTS) (1 SECTIONS),0 groups:,PRE-CALCULUS 11 HONOURS (MPREC11H--_1)
sim_152 (BLOCK 1) (ROOM 107) (24 STUDENTS) (1 SECTIONS),0 groups:,ENVIRONMENTAL SCIENCE 11 (MEVSC11---_3)
sim_279 (BLOCK 1) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"7 groups: sim_292, sim_295, sim_304, sim_311, sim_313, sim_362, sim_363",LEARNING STRATEGIES 10 (YED--0AX--_2)
sim_292 (BLOCK 1) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"7 groups: sim_279, sim_295, sim_304, sim_311, sim_313, sim_362, sim_363",LEARNING STRATEGIES 10 (YED--0AX--_15)
sim_295 (BLOCK 1) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"7 groups: sim_279, sim_292, sim_304, sim_311, sim_313, sim_362, sim_363",LEARNING STRATEGIES 10 LINEAR (YED--0AX-L_1)
sim_304 (BLOCK 1) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"7 groups: sim_279, sim_292, sim_295, sim_311, sim_313, sim_362, sim_363",LEARNING STRATEGIES 11 (YED--1DX--_5)
sim_311 (BLOCK 1) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"7 groups: sim_279, sim_292, sim_295, sim_304, sim_313, sim_362, sim_363",LEARNING STRATEGIES 11 (YED--1DX--_12)
sim_313 (BLOCK 1) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"7 groups: sim_279, sim_292, sim_295, sim_304, sim_311, sim_362, sim_363",LEARNING STRATEGIES 11 (YED--1DX--_14)
sim_362 (BLOCK 1) (ROOM 108) (0 STUDENTS) (1 SECTIONS),"7 groups: sim_279, sim_292, sim_295, sim_304, sim_311, sim_313, sim_363",LEARNING STRATEGIES 9 LD LINEAR (XLDCB09LSL_1)
sim_363 (BLOCK 1) (ROOM 108) (3 STUDENTS) (1 SECTIONS),"7 groups: sim_279, sim_292, sim_295, sim_304, sim_311, sim_313, sim_362",LEARNING STRATEGIES 9 LD LINEAR (XLDCB09LSL_2)
sim_42 (BLOCK 1) (ROOM 119) (15 STUDENTS) (2 SECTIONS),0 groups:,"INSTRUMENTAL MUSIC 11: CONCERT BAND LINEAR (MIMCB11--L_1), INSTRUMENTAL MUSIC 12: CONCERT BAND LINEAR (MIMCB12--L_1)"
sim_73 (BLOCK 1) (ROOM 120) (30 STUDENTS) (3 SECTIONS),0 groups:,"CROSS TRAINING 10 (YHRA-0AX--_1), CROSS TRAINING 11 (YHRA-1AX--_1), CROSS TRAINING 12 (YHRA-2AX--_1)"
sim_249 (BLOCK 1) (ROOM 121) (15 STUDENTS) (1 SECTIONS),0 groups:,SOCIAL STUDIES 10 CHALLENGE (MSS--10C--_2)
sim_62 (BLOCK 1) (ROOM 123) (15 STUDENTS) (2 SECTIONS),0 groups:,"SPOKEN LANGUAGE 11 (MSPLG11---_1), ELL Academic Literacy 11 (YESFL1CX--_1)"
sim_33 (BLOCK 1) (ROOM 206) (30 STUDENTS) (2 SECTIONS),"2 groups: sim_34, sim_35","FOOD STUDIES 11 (MFOOD11---_1), FOOD STUDIES 12 (MFOOD12---_1)"
sim_34 (BLOCK 1) (ROOM 206) (29 STUDENTS) (2 SECTIONS),"2 groups: sim_33, sim_35","FOOD STUDIES 11 (MFOOD11---_2), FOOD STUDIES 12 (MFOOD12---_2)"
sim_35 (BLOCK 1) (ROOM 206) (30 STUDENTS) (2 SECTIONS),"2 groups: sim_33, sim_34","FOOD STUDIES 11 (MFOOD11---_3), FOOD STUDIES 12 (MFOOD12---_3)"
sim_167 (BLOCK 1) (ROOM 207B) (15 STUDENTS) (1 SECTIONS),0 groups:,CONTEMPORARY INDIGENOUS STUDIES 12 (MINST12---_1)
sim_94 (BLOCK 1) (ROOM 211) (13 STUDENTS) (1 SECTIONS),0 groups:,CHEMISTRY 12 (MCH--12---_1)
sim_76 (BLOCK 1) (ROOM 216) (3 STUDENTS) (1 SECTIONS),0 groups:,AP PHYSICS C (MECHANICS) 12 external credential (APHM-12---_1)
sim_96 (BLOCK 1) (ROOM 219) (23 STUDENTS) (1 SECTIONS),0 groups:,CHEMISTRY 12 (MCH--12---_3)
sim_77 (BLOCK 1) (ROOM 220) (15 STUDENTS) (1 SECTIONS),0 groups:,AP STATISTICS 12 (ASTA-12---_1)
sim_196 (BLOCK 1) (ROOM 223) (22 STUDENTS) (1 SECTIONS),0 groups:,PHYSICS 11 (MPH--11---_5)
sim_194 (BLOCK 1) (ROOM 225) (23 STUDENTS) (1 SECTIONS),0 groups:,PHYSICS 11 (MPH--11---_3)
sim_99 (BLOCK 1) (ROOM 226) (24 STUDENTS) (1 SECTIONS),0 groups:,CHEMISTRY 12 (MCH--12---_6)
sim_95 (BLOCK 1) (ROOM 227) (18 STUDENTS) (1 SECTIONS),0 groups:,CHEMISTRY 12 (MCH--12---_2)
sim_143 (BLOCK 1) (ROOM A-6) (23 STUDENTS) (1 SECTIONS),0 groups:,ENGLISH STUDIES 12 (MENST12---_4)
sim_5 (BLOCK 1) (ROOM Gym) (19 STUDENTS) (2 SECTIONS),"14 groups: sim_48, sim_49, sim_50, sim_51, sim_52, sim_53, sim_54, sim_55, sim_56, sim_57, sim_58, sim_202, sim_204, sim_348","ACTIVE LIVING 11 Girls (MACLV11G--_1), ACTIVE LIVING 12 Girls (MACLV12G--_1)"
sim_48 (BLOCK 1) (ROOM Gym) (25 STUDENTS) (2 SECTIONS),"14 groups: sim_5, sim_49, sim_50, sim_51, sim_52, sim_53, sim_54, sim_55, sim_56, sim_57, sim_58, sim_202, sim_204, sim_348","PHYSICAL AND HEALTH EDUCATION 9 (MPHE-09---_1), PHYSICAL AND HEALTH EDUCATION 10 (MPHED10---_1)"
sim_49 (BLOCK 1) (ROOM Gym) (27 STUDENTS) (2 SECTIONS),"14 groups: sim_5, sim_48, sim_50, sim_51, sim_52, sim_53, sim_54, sim_55, sim_56, sim_57, sim_58, sim_202, sim_204, sim_348","PHYSICAL AND HEALTH EDUCATION 9 (MPHE-09---_2), PHYSICAL AND HEALTH EDUCATION 10 (MPHED10---_2)"
sim_50 (BLOCK 1) (ROOM Gym) (30 STUDENTS) (2 SECTIONS),"14 groups: sim_5, sim_48, sim_49, sim_51, sim_52, sim_53, sim_54, sim_55, sim_56, sim_57, sim_58, sim_202, sim_204, sim_348","PHYSICAL AND HEALTH EDUCATION 9 (MPHE-09---_3), PHYSICAL AND HEALTH EDUCATION 10 (MPHED10---_3)"
sim_51 (BLOCK 1) (ROOM Gym) (20 STUDENTS) (2 SECTIONS),"14 groups: sim_5, sim_48, sim_49, sim_50, sim_52, sim_53, sim_54, sim_55, sim_56, sim_57, sim_58, sim_202, sim_204, sim_348","PHYSICAL AND HEALTH EDUCATION 9 Boys (MPHE-09B--_1), PHYSICAL AND HEALTH EDUCATION 10 Boys (MPHED10B--_1)"
sim_52 (BLOCK 1) (ROOM Gym) (21 STUDENTS) (2 SECTIONS),"14 groups: sim_5, sim_48, sim_49, sim_50, sim_51, sim_53, sim_54, sim_55, sim_56, sim_57, sim_58, sim_202, sim_204, sim_348","PHYSICAL AND HEALTH EDUCATION 9 Boys (MPHE-09B--_2), PHYSICAL AND HEALTH EDUCATION 10 Boys (MPHED10B--_2)"
sim_53 (BLOCK 1) (ROOM Gym) (29 STUDENTS) (2 SECTIONS),"14 groups: sim_5, sim_48, sim_49, sim_50, sim_51, sim_52, sim_54, sim_55, sim_56, sim_57, sim_58, sim_202, sim_204, sim_348","PHYSICAL AND HEALTH EDUCATION 9 Boys (MPHE-09B--_3), PHYSICAL AND HEALTH EDUCATION 10 Boys (MPHED10B--_3)"
sim_54 (BLOCK 1) (ROOM Gym) (23 STUDENTS) (2 SECTIONS),"14 groups: sim_5, sim_48, sim_49, sim_50, sim_51, sim_52, sim_53, sim_55, sim_56, sim_57, sim_58, sim_202, sim_204, sim_348","PHYSICAL AND HEALTH EDUCATION 9 Boys (MPHE-09B--_4), PHYSICAL AND HEALTH EDUCATION 10 Boys (MPHED10B--_4)"
sim_55 (BLOCK 1) (ROOM Gym) (30 STUDENTS) (2 SECTIONS),"14 groups: sim_5, sim_48, sim_49, sim_50, sim_51, sim_52, sim_53, sim_54, sim_56, sim_57, sim_58, sim_202, sim_204, sim_348","PHYSICAL AND HEALTH EDUCATION 9 Girls (MPHE-09G--_1), PHYSICAL AND HEALTH EDUCATION 10 Girls (MPHED10G--_1)"
sim_56 (BLOCK 1) (ROOM Gym) (26 STUDENTS) (2 SECTIONS),"14 groups: sim_5, sim_48, sim_49, sim_50, sim_51, sim_52, sim_53, sim_54, sim_55, sim_57, sim_58, sim_202, sim_204, sim_348","PHYSICAL AND HEALTH EDUCATION 9 Girls (MPHE-09G--_2), PHYSICAL AND HEALTH EDUCATION 10 Girls (MPHED10G--_2)"
sim_57 (BLOCK 1) (ROOM Gym) (30 STUDENTS) (2 SECTIONS),"14 groups: sim_5, sim_48, sim_49, sim_50, sim_51, sim_52, sim_53, sim_54, sim_55, sim_56, sim_58, sim_202, sim_204, sim_348","PHYSICAL AND HEALTH EDUCATION 9 Girls (MPHE-09G--_3), PHYSICAL AND HEALTH EDUCATION 10 Girls (MPHED10G--_3)"
sim_58 (BLOCK 1) (ROOM Gym) (30 STUDENTS) (2 SECTIONS),"14 groups: sim_5, sim_48, sim_49, sim_50, sim_51, sim_52, sim_53, sim_54, sim_55, sim_56, sim_57, sim_202, sim_204, sim_348","PHYSICAL AND HEALTH EDUCATION 9 Girls (MPHE-09G--_4), PHYSICAL AND HEALTH EDUCATION 10 Girls (MPHED10G--_4)"
sim_202 (BLOCK 1) (ROOM Gym) (19 STUDENTS) (1 SECTIONS),"14 groups: sim_5, sim_48, sim_49, sim_50, sim_51, sim_52, sim_53, sim_54, sim_55, sim_56, sim_57, sim_58, sim_204, sim_348",PHYSICAL AND HEALTH EDUCATION 9 Linear (MPHE-09--L_1)
sim_204 (BLOCK 1) (ROOM Gym) (30 STUDENTS) (1 SECTIONS),"14 groups: sim_5, sim_48, sim_49, sim_50, sim_51, sim_52, sim_53, sim_54, sim_55, sim_56, sim_57, sim_58, sim_202, sim_348",PHYSICAL AND HEALTH EDUCATION 10 LINEAR (MPHED10--L_1)
sim_348 (BLOCK 1) (ROOM Gym) (0 STUDENTS) (1 SECTIONS),"14 groups: sim_5, sim_48, sim_49, sim_50, sim_51, sim_52, sim_53, sim_54, sim_55, sim_56, sim_57, sim_58, sim_202, sim_204",ACTIVE LIVING 11 Football (MACLV11FB-_1)
