Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1048,unassigned,unassigned,YPSYC1AX--,MCLC-12--L,MENST12---,YCPA-2AX-L,MCMCL12---,MPREC12---
1049,AELC-12---,unassigned,ASTA-12---,MCLC-12--L,ACAL-12---,unassigned,APHM-12---,MPREC12---
1050,unassigned,MFOOD12---,MCH--12---,MCLC-12--L,MENST12---,unassigned,MATPH12---,MPREC12---
1051,MTXT-12---,MMACS11---,MATPH12---,MCLC-12--L,MCALC12---,MVAST12---,MENST12---,unassigned
1052,unassigned,unassigned,ASTA-12---,MENFP12---,unassigned,MCLC-12---,MCH--12---,YED--2DX-L
1053,MENR-12---,unassigned,MCH--12---,MCLC-12--L,ACAL-12---,MACLV12---,MPH--12---,unassigned
1054,MENR-12---,unassigned,unassigned,MMACS11---,unassigned,unassigned,MPH--12---,unassigned
1055,MDNTP12---,unassigned,unassigned,MENST12---,unassigned,unassigned,unassigned,MPREC12---
1056,MPH--12---,unassigned,MCH--12---,MENST12---,unassigned,unassigned,unassigned,MPREC12---
1057,unassigned,MFOOD12---,unassigned,MENST12---,MTAUT12---,MCLC-12---,unassigned,MSP--12---
1058,unassigned,unassigned,MATPH12---,MTROB12---,unassigned,unassigned,MPH--12---,MPREC12---
1059,MDNTP12---,YED--2CX--,MDNC-12--L,MCLC-12--L,MINST12---,MCLE-10---,MENST12---,unassigned
1060,unassigned,unassigned,MLFSC11---,MENST12---,unassigned,unassigned,unassigned,MPREC12---
1061,unassigned,unassigned,MLFSC11---,MENST12---,unassigned,unassigned,MFOM-11---,unassigned
1062,MPH--12---,unassigned,unassigned,unassigned,unassigned,unassigned,MATPH12---,MPREC12---
1063,MLST-12---,MEC--12---,MCH--12---,MCLC-12--L,unassigned,unassigned,MENST12---,YED--2DX-L
1064,AELC-12---,MCMPR11AI-,ASTA-12---,MCLC-12--L,ACAL-12---,unassigned,MCH--12---,YED--2DX-L
1065,unassigned,unassigned,MATPH12---,MCLC-12--L,ACAL-12---,unassigned,APHM-12---,unassigned
1066,MAC--11---,unassigned,unassigned,MCLC-12--L,MENST12---,unassigned,MCALC12---,MPREC12---
1067,MMEDD12---,MDRM-12---,MPREC11---,MCLC-12--L,MTAUT12---,MFOOD12---,MENST12---,unassigned
1068,MPH--12---,unassigned,MCH--12---,MCLC-12--L,MCALC12---,unassigned,MATPH12---,MPREC12---
1069,MFOOD12---,MCH--11---,MATPH12---,MCLC-12--L,MENFP12---,MPH--11---,MFMP-10---,unassigned
1070,MPH--12---,unassigned,MENR-12---,MCLC-12--L,MENFP12---,MPH--11---,MCALC12---,MPREC12---
1071,MPH--12---,unassigned,MATPH12---,MCLC-12--L,unassigned,MMUOR12S-L,MCALC12---,MPREC12---
1072,unassigned,MFOOD12---,MENR-12---,MACLV12---,MENFP12---,unassigned,unassigned,unassigned
1073,unassigned,unassigned,unassigned,MCLC-12--L,MENST12---,unassigned,MATPH12---,MPREC12---
1074,MDNTP12---,unassigned,MCH--12---,MCLC-12--L,MCALC12---,unassigned,MATPH12---,MPREC12---
1075,unassigned,unassigned,MLFSC11---,unassigned,unassigned,MFOM-11---,MCMPS11---,unassigned
1076,unassigned,YED--2CX--,unassigned,MCLC-12--L,MENFP12---,MACLV12---,MCMCL12---,unassigned
1077,unassigned,unassigned,MATPH12---,MENST12---,unassigned,unassigned,MPH--12---,MPREC12---
1078,MPH--12---,unassigned,MATPH12---,MCLC-12--L,MENFP12---,MPH--11---,MCALC12---,unassigned
1079,YPA--2CX--,unassigned,unassigned,MCLC-12--L,MENFP12---,MFOOD12---,unassigned,unassigned
