Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1641,ADST ?  FOOD STUDIES 10 (Room 206),VISUAL ARTS: ART STUDIO 10,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 216),unassigned,FOUNDATIONS OF MATH AND PRE-CA (Room A-3),EFP WRITING 10 (Room A-6),unassigned
1642,FOUNDATIONS OF MATH AND PRE-CA (Room 214),ADST-Technology Explorations 1,PHYSICAL AND HEALTH EDUCATION (Room Gym),INDEPENDENT DIRECTED STUDIES 1 (Room 123),CAREER LIFE EDUCATION 10 (Room 207B),COMPUTER SCIENCE 11 (Room 203),EFP WRITING 10 (Room A-6),COMMUNITY LEADERSHIP 10 Linear (Room 123)
1643,SCIENCE 10: CHALLENGE (Room 226),ADST-Technology Explorations 1,PHYSICAL AND HEALTH EDUCATION (Room Gym),SOCIAL STUDIES 10 CHALLENGE (Room 121),COMPOSITION 10 Challenge (Room 123),unassigned,ADST ? ENTREPRENEURSHIP AND MA (Room 123),unassigned
1644,SCIENCE 10: CHALLENGE (Room 226),unassigned,FRENCH 10 (Room 122),SOCIAL STUDIES 10 CHALLENGE (Room 121),COMPOSITION 10 Challenge (Room 123),COMPUTER SCIENCE 11 (Room 203),FOUNDATIONS OF MATH AND PRE-CA (Room 212),unassigned
1645,FOUNDATIONS OF MATH AND PRE-CA (Room 214),COMPUTER PROGRAMMING 11 AI and (Room 203),PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 216),CAREER LIFE EDUCATION 10 (Room 207B),COMPUTER SCIENCE 11 (Room 203),EFP WRITING 10 (Room A-6),unassigned
1646,SCIENCE 10: CHALLENGE (Room 226),ADST-Technology Explorations 1,PHYSICAL AND HEALTH EDUCATION (Room Gym),SOCIAL STUDIES 10 CHALLENGE (Room 121),COMPOSITION 10 Challenge (Room 123),COMPUTER SCIENCE 11 (Room 203),FOUNDATIONS OF MATH AND PRE-CA (Room 212),unassigned
1647,SCIENCE 10: CHALLENGE (Room 226),ADST-Technology Explorations 1,ADST ?  POWER TECHNOLOGY 10,SOCIAL STUDIES 10 CHALLENGE (Room 121),COMPOSITION 10 Challenge (Room 123),unassigned,FOUNDATIONS OF MATH AND PRE-CA (Room 212),unassigned
1648,ACCOUNTING 11 (Room 208),unassigned,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10: CHALLENGE (Room 226),COMPOSITION 10 Challenge (Room 123),COMPUTER SCIENCE 11 (Room 203),FOUNDATIONS OF MATH AND PRE-CA (Room 212),unassigned
1649,ACCOUNTING 11 (Room 208),unassigned,SCIENCE 10 (Room 227),INDEPENDENT DIRECTED STUDIES 1 (Room 123),COMPOSITION 10 (Room 209),FOUNDATIONS OF MATH AND PRE-CA (Room A-3),ADST ?  FOOD STUDIES 10 (Room 206),unassigned
1650,COMPOSITION 10 (Room 205A),VISUAL ARTS: ART STUDIO 10,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 216),unassigned,WORKPLACE MATHEMATICS 10 (Room 107),SOCIAL STUDIES 10 (Room 107),unassigned
1651,ACCOUNTING 11 (Room 208),unassigned,PHYSICAL AND HEALTH EDUCATION (Room Gym),SCIENCE 10 (Room 216),Information and Communications (Room 203),FOUNDATIONS OF MATH AND PRE-CA (Room A-3),EFP WRITING 10 (Room A-6),unassigned
