Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1404,WORKPLACE MATHEMATICS 11 (Room 123),PHOTOGRAPHY 11 (Room 113),LAW STUDIES 12 (Room 121),FOOD STUDIES 11 (Room 206),CROSS TRAINING 11 (Room 120),ENVIRONMENTAL SCIENCE 11 (Room 123),ACTIVE LIVING 11 Football (Room Gym),COMPOSITION 11 (Room 207A)
1405,unassigned,unassigned,FOUNDATIONS OF MATHEMATICS 11 (Room 221),LIFE SCIENCES 11 (Room 219),COMPOSITION 11 (Room 209),unassigned,EXPLORATIONS IN SOCIAL STUDIES 11 (Room 207B),unassigned
1406,CHEMISTRY 11 (Room 226),SOCIAL JUSTICE 12 (Room A-3),LAW STUDIES 12 (Room 121),COMPOSITION 11 (Room 208),ACCOUNTING 12 (Room 206),PRE-CALCULUS 11 (Room 212),DANCE TECHNIQUE AND PERFORMANCE 11 (Room Studio),PSYCHOLOGY 11 (Room 122)
1407,LITERARY STUDIES 11 Challenge (Room A-7),PRE-CALCULUS 11 (Room 212),CAREER LIFE EDUCATION 10 Linear (Room 104),CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE (Room 207B),PHYSICS 11 (Room 223),unassigned,CAREER LIFE EDUCATION 10 Linear (Room 104),CHEMISTRY 11 (Room 223)
1408,PHYSICS 11 (Room 227),CAREER LIFE EDUCATION 10 (Room 201),LAW STUDIES 12 (Room 121),PRE-CALCULUS 11 (Room 106),LITERARY STUDIES 11 Challenge (Room A-7),CRIMINOLOGY 12 (Room 205A),unassigned,ANATOMY AND PHYSIOLOGY 12 (Room 225)
1409,CONTEMPORARY INDIGENOUS STUDIES 12 CHALLENGE (Room 222),CAREER LIFE EDUCATION 10 (Room 201),CHEMISTRY 11 (Room 223),PRE-CALCULUS 11 HONOURS (Room 210),LITERARY STUDIES 11 Challenge (Room A-7),FRENCH 11 (Room 122),DRAFTING 11 (Room 105),PHYSICS 11 (Room 226)
1410,MEDIA DESIGN 11 (Room 114),EXPLORATIONS IN SOCIAL STUDIES 11 (Room 107),COMPOSITION 11 (Room 123),PRE-CALCULUS 11 HONOURS (Room 210),ART STUDIO 11 (Room 116),CAREER LIFE EDUCATION 10 (Room 104),TEXTILES 11 (Room A-7),PHYSICS 11 (Room 226)
1411,PHYSICS 11 (Room 227),EXPLORATIONS IN SOCIAL STUDIES 11 (Room 107),CAREER LIFE EDUCATION 10 Linear (Room 104),PRE-CALCULUS 11 HONOURS (Room 210),COMPOSITION 11 (Room 209),ENGINEERING 11 (Room 105),CAREER LIFE EDUCATION 10 Linear (Room 104),CHEMISTRY 11 (Room 223)
1412,unassigned,unassigned,COMPOSITION 11 (Room 123),LIFE SCIENCES 11 (Room 219),unassigned,FRENCH 11 (Room 122),PSYCHOLOGY 11 (Room 207A),unassigned
1413,unassigned,TEXTILES 11 (Room A-7),COMPOSITION 10 (Room 122),LIFE SCIENCES 11 (Room 219),FOUNDATIONS OF MATHEMATICS 11 (Room 214),unassigned,unassigned,unassigned
