Page 5,,,,,
,Course,Description,,Sections,
,,,,,
,MENT-12---,ENTREPRENEURSHIP 12,,,1
,,,,,
,MEPSS11---,EXPLORATIONS IN SOCIAL STUDIES,,,3
,,,,,
,MEVSC11---,ENVIRONMENTAL SCIENCE 11,,,3
,,,,,
,MEVSC12C--,ENVIRONMENTAL SCIENCE 12 - CLI,,,1
,,,,,
,MFMP-10---,FOUNDATIONS OF MATH AND PRE-CA,,,4
,,,,,
,MFMP-10C--,FOUNDATIONS OF MATH AND PRE-CA,,,2
,,,,,
,MFMP-10H--,FOUNDATIONS OF MATH AND PRE-CA,,,1
,,,,,
,MFOM-11---,FOUNDATIONS OF MATHEMATICS 11,,,2
,,,,,
,MFOOD10---,ADST ?  FOOD STUDIES 10,,,3
,,,,,
,MFOOD11---,FOOD STUDIES 11,,,4
,,,,,
,MFOOD12---,FOOD STUDIES 12,,,4
,,,,,
,MFR--09---,FRENCH 9,,,3
,,,,,
,MFR--10---,FRENCH 10,,,3
,,,,,
,MFR--11---,FRENCH 11,,,2
,,,,,
,MFR--12---,FRENCH 12,,,2
,,,,,
,MGRPR11--L,GRAPHIC PRODUCTION 11 LINEAR,,,1
,,,,,
,MGRPR12--L,GRAPHIC PRODUCTION 12 LINEAR,,,1
,,,,,
,MIDS-0B---,INDEPENDENT DIRECTED STUDIES 1,,,1
,,,,,
,MIDS-0C---,INDEPENDENT DIRECTED STUDIES 1,,,1
,,,,,
,MIMCB11--L,INSTRUMENTAL MUSIC 11: ,,,1
,,,,,
,MIMCB12--L,INSTRUMENTAL MUSIC 12: CONCERT,,,1
,,,,,
,MIMG-11---,INSTRUMENTAL MUSIC 11: GUITAR,,,1
,,,,,
,MIMG-12---,INSTRUMENTAL MUSIC 12: GUITAR,,,1
,,,,,
,MIMJB11--L,INSTRUMENTAL MUSIC 11: JAZZ BA,,,1
,,,,,
,MIMJB12--L,INSTRUMENTAL MUSIC 12: JAZZ BA,,,1
,,,,,
,MINST12---,CONTEMPORARY INDIGENOUS STUDIE,,,2
,,,,,
