Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1354,CRIMINOLOGY 12,20th CENTURY WORLD HISTORY 12,TEXTILES 11,unassigned,LIFE SCIENCES 11,FOOD STUDIES 11,COMPOSITION 11,CAREER LIFE EDUCATION 10
1355,CRIMINOLOGY 12,20th CENTURY WORLD HISTORY 12,unassigned,PRE-CALCULUS 11,LIFE SCIENCES 11,INSTRUMENTAL MUSIC 11:,COMPOSITION 11,CAREER LIFE EDUCATION 10 Linea
1356,unassigned,unassigned,TEXTILES 11,unassigned,MARKETING AND PROMOTION 11,unassigned,unassigned,ACTIVE LIVING 11 Girls
1357,unassigned,unassigned,unassigned,PRE-CALCULUS 11 HONOURS,LITERARY STUDIES 11 Challenge,INSTRUMENTAL MUSIC 11:,unassigned,AP STATISTICS 12
1358,PEER TUTORING 11 LINEAR,unassigned,unassigned,PRE-CALCULUS 11 HONOURS,LITERARY STUDIES 11 Challenge,CONTEMPORARY INDIGENOUS STUDIE,ECONOMICS 12,AP STATISTICS 12
1359,unassigned,COMMUNITY LEADERSHIP 11 Linear,unassigned,PRE-CALCULUS 11 HONOURS,LIFE SCIENCES 11,GRAPHIC PRODUCTION 11 LINEAR,COMPOSITION 11,ANATOMY AND PHYSIOLOGY 12
1360,LEARNING STRATEGIES 11,WORKPLACE MATHEMATICS 11,unassigned,unassigned,unassigned,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,CAREER LIFE EDUCATION 10
1361,unassigned,unassigned,PHOTOGRAPHY 11,unassigned,MARKETING AND PROMOTION 11,unassigned,3D ANIMATION 12,unassigned
1362,unassigned,unassigned,unassigned,PRE-CALCULUS 12,LAW STUDIES 12,FOOD STUDIES 11,COMPUTER PROGRAMMING 11 AI and,CHEMISTRY 11
1363,LEARNING STRATEGIES 11,20th CENTURY WORLD HISTORY 12,unassigned,SCIENCE 10,unassigned,ENVIRONMENTAL SCIENCE 11,COMPOSITION 11,ACTIVE LIVING 11
1364,unassigned,COMMUNITY LEADERSHIP 11,ROBOTICS 11 LINEAR,PRE-CALCULUS 11,LITERARY STUDIES 11 Challenge,INSTRUMENTAL MUSIC 11:,ENGINEERING 11,CHEMISTRY 11
1365,PSYCHOLOGY 11,unassigned,PHOTOGRAPHY 11,PRE-CALCULUS 11,LIFE SCIENCES 11,CONTEMPORARY INDIGENOUS STUDIE,DRAMA 11,unassigned
1366,PSYCHOLOGY 11,unassigned,unassigned,PRE-CALCULUS 12,unassigned,ENVIRONMENTAL SCIENCE 11,COMPARATIVE CULTURES 12,ACCOUNTING 11
1367,unassigned,unassigned,PHOTOGRAPHY 11,SPANISH 11,unassigned,unassigned,COMPOSITION 11,unassigned
1368,unassigned,unassigned,unassigned,unassigned,LIFE SCIENCES 11,ENVIRONMENTAL SCIENCE 11,COMPOSITION 11,CAREER LIFE EDUCATION 10
1369,unassigned,unassigned,unassigned,PRE-CALCULUS 11,unassigned,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,ACTIVE LIVING 11
1370,unassigned,unassigned,TEXTILES 11,unassigned,unassigned,FRENCH 11,COMPOSITION 11,ACCOUNTING 11
1371,unassigned,unassigned,DRAFTING 11,PRE-CALCULUS 11,OUTDOOR EDUCATION 11,ENVIRONMENTAL SCIENCE 11,COMPOSITION 11,ACTIVE LIVING 11
1372,CRIMINOLOGY 12,unassigned,DRAFTING 11,PRE-CALCULUS 11 HONOURS,LAW STUDIES 12,unassigned,COMPOSITION 11,CHEMISTRY 11
1373,unassigned,unassigned,AUTOMOTIVE TECHNOLOGY 11,PRE-CALCULUS 12,PHYSICS 11,FOOD STUDIES 11,COMPOSITION 11,ACTIVE LIVING 11
1374,unassigned,WORK EXPERIENCE 12B LINEAR,unassigned,PRE-CALCULUS 11 HONOURS,PHYSICS 11,LIFE SCIENCES 11,COMPARATIVE CULTURES 12,ANATOMY AND PHYSIOLOGY 12
1375,unassigned,unassigned,unassigned,unassigned,LIFE SCIENCES 11,ENVIRONMENTAL SCIENCE 11,COMPOSITION 11,ACTIVE LIVING 11 Girls
1376,unassigned,unassigned,ROBOTICS 11,PRE-CALCULUS 11 HONOURS,LITERARY STUDIES 11 Challenge,GRAPHIC PRODUCTION 11 LINEAR,unassigned,ANATOMY AND PHYSIOLOGY 12
1377,unassigned,unassigned,unassigned,PRE-CALCULUS 11,LIFE SCIENCES 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,ACCOUNTING 11
1378,ATHLETIC LEADERSHIP 11 Linear,unassigned,unassigned,PRE-CALCULUS 11,LAW STUDIES 12,LIFE SCIENCES 11,COMPOSITION 11,CHEMISTRY 11
1379,unassigned,unassigned,ART STUDIO 11,PRE-CALCULUS 11,MARKETING AND PROMOTION 11,EXPLORATIONS IN SOCIAL STUDIES,COMPOSITION 11,CAREER LIFE EDUCATION 10
1380,unassigned,WORKPLACE MATHEMATICS 11,unassigned,AUTOMOTIVE TECHNOLOGY 11,unassigned,ENVIRONMENTAL SCIENCE 11,COMPOSITION 10,CAREER LIFE EDUCATION 10
