Student,Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
1065,,,,MPREC12H--,,MENST12C--,,ACAL-12---
1066,,MWH--12---,MTAUT12---,MPREC12---,MLST-12---,MENST12---,,MAC--11---
1067,YLAW-2CX--,,MTAUT12---,MPREC11---,MMEDD12---,MENST12---,MDRM-12---,MCLC-12--L
1068,,,,MPREC12---,MPH--12---,MENST12---,,MATPH12---
1069,,,,MPREC11---,MPH--11---,MFMP-10---,MENFP12---,MATPH12---
1070,,MWH--12---,,MPREC12---,MPH--11---,MENR-12---,MENFP12---,MCALC12---
1071,YED--2FX-L,YCPA-2AX-L,,MPREC12---,MMUOR12S-L,MENST12C--,,MATPH12---
1072,,MWWK-12---,,MSJ--12---,,MENR-12---,MENFP12---,MACLV12---
1073,YED--2FX-L,,,MPREC12---,,MENST12---,,MATPH12---
1074,YPSYC1AX--,,,MPREC12---,,MENST12---,MDNC-12--L,MATPH12---
1075,,,,,MLFSC11---,MEPSS11---,MCMPS11---,
1076,YED--2CX--,,MTAUT12---,,,MFOM-11---,MCMCL12---,MACLV12---
1077,,,,MPREC12---,MPH--12---,MENST12---,,MATPH12---
1078,,,,,MPH--11---,,MCMCL12---,MATPH12---
1079,YPA--2CX--,,,MSJ--12---,,MFOOD12---,MENFP12---,MCLC-12--L
1080,YED--2DX-L,,MTAUT12---,MPREC12H--,,MENST12C--,,ACAL-12---
1081,,,,MPREC12---,,MENST12---,,MCH--12---
1082,YPSYC1AX--,,,MPREC12---,,MENST12---,,MATPH12---
1083,YHRA-2AX--,MWH--12---,,,MLFSC11---,MENT-12---,MDMD-12D--,MACLV12---
1084,YED--2DX-L,YCPA-2AXE-,,,MMACS11---,MENST12---,,ACAL-12---
1085,YPSYC1AX--,,MTDRF12---,,,MENST12---,,MATPH12---
1086,YED--2CX--,,,MPREC12---,MPH--12---,MENST12---,,MACLV12---
1087,,,MVAPH12---,,,MENST12---,,MCLC-12---
1088,YED--2CX--,MWH--12---,MVAPH11---,MSJ--12---,MLST-12---,MEVSC12C--,MENFP12---,MCLC-12--L
1089,,,,MPREC12---,MLST-12---,,MDRM-12---,ACSC-2A---
1090,,,,MPREC12---,,MENST12---,,MATPH12---
1091,,PBB--2H,,MPREC12---,MPH--12---,MENST12---,MEC--12---,ACAL-12---
1092,,,,,MMACS11---,,MDNC-12--L,APHM-12---
1093,,,MTAUT12---,MSJ--12---,,MFOM-11---,MDRM-12---,MACLV12---
1094,,YCPA-2AXE-,MTDRF12---,,MPH--12---,,MEC--12---,MATPH12---
1095,YESFL1CX--,PBB--2H,,MPREC12---,,MIMG-12---,MECOM12---,MACLV12---
1096,YLAW-2CX--,,MTAUT12---,,MODED12---,MENST12---,,MCLC-12--L
1097,YLRA-2AX-L,,MVAPH11---,MPREC12---,MODED12---,MENST12---,,MATPH12---
1098,YLRA-2AX-L,,,MPREC12---,MLST-12---,MENST12---,,ASTA-12---
1099,,,,,MMACS12---,MEVSC12C--,MEC--12---,MCALC12---
1100,,MWH--12---,,MPREC12---,MPH--11---,MENST12C--,MDMD-12D--,MCALC12---
1101,,,,,MMAP-11---,MENST12C--,MEC--12---,APHM-12---
1102,,,MTAUT12---,MPREC12---,,MENST12---,,MATPH12---
1103,YED--2FX-L,,,MPREC12---,MPH--12---,MENST12C--,,MATPH12---
1104,,,,MPREC12---,MMAP-11---,MFOOD12---,MENFP12---,MATPH12---
1105,YED--2DX-L,YCPA-2AX-L,MTXT-12---,MPREC12H--,MODED12---,MENST12---,,MCALC12---
1106,,,MVAPH11---,MSP--12---,MLFSC11---,MENST12---,,MATPH12---
1107,YED--2DX-L,,,MPREC12H--,,MENST12---,,ACAL-12---
1108,,,MVAST12---,MPREC12---,,MEVSC12C--,MDMD-12D--,MCLC-12--L
1109,,,MTAUT12---,,,MENT-12---,MENFP12---,MACC-12---
1110,,MWH--12---,MVAPH11---,,,MENST12---,,
1111,YED--2CX--,MWH--12---,,MPREC12---,MMEDD12---,MENST12---,,MACC-12---
1112,YESFL1CX--,,,MSJ--12---,MLST-12---,MEPSS11---,MENFP12--Y,MCLC-12--L
1113,YPSYC1AX--,,,MPREC11---,MLST-12---,,MENFP12---,MATPH12---
